Time	Value
1.01.2010	12624231855
1.02.2010	14503999598
1.03.2010	16820353431
1.04.2010	14680249490
1.05.2010	16048667424
1.06.2010	16715443060
1.07.2010	16350395216
1.08.2010	12573129432
1.09.2010	16092699537
1.10.2010	17142141613
1.11.2010	17505428366
1.12.2010	15723331531
1.01.2011	16614259593
1.02.2011	17676880720
1.03.2011	20528684915
1.04.2011	17522890653
1.05.2011	18748391127
1.06.2011	18918139126
1.07.2011	18140584660
1.08.2011	14577160569
1.09.2011	18486111068
1.10.2011	18084809373
1.11.2011	18808782124
1.12.2011	17123676781
1.01.2012	17570511993
1.02.2012	18498088507
1.03.2012	20336074928
1.04.2012	17635566458
1.05.2012	19847834819
1.06.2012	19416516502
1.07.2012	19899820364
1.08.2012	16177111593
1.09.2012	18222180274
1.10.2012	20911618210
1.11.2012	19785631616
1.12.2012	17813638711
1.01.2013	18698937378
1.02.2013	19199997077
1.03.2013	21089537433
1.04.2013	20466744078
1.05.2013	20938367500
1.06.2013	20399190131
1.07.2013	20865172741
1.08.2013	16416920314
1.09.2013	18918139363
1.10.2013	21286216784
1.11.2013	19176521026
1.12.2013	18358325219
1.01.2014	19156938265
1.02.2014	19787928189
1.03.2014	20527749706
1.04.2014	19770143631
1.05.2014	20509576089
1.06.2014	20886784453
1.07.2014	21882800087
1.08.2014	15676972455
1.09.2014	20797023431
1.10.2014	22138594992
1.11.2014	20224570671
1.12.2014	19222748255
1.01.2015	18484057077
1.02.2015	19978938602
1.03.2015	23105964822
1.04.2015	20763376287
1.05.2015	21228479756
1.06.2015	22400532080
1.07.2015	23298194045
1.08.2015	15806837877
1.09.2015	21057941255
1.10.2015	22074012261
1.11.2015	21600003091
1.12.2015	19996078498
1.01.2016	18590906902
1.02.2016	21029966347
1.03.2016	22171598110
1.04.2016	22276214531
1.05.2016	22207182834
1.06.2016	22837840765
1.07.2016	22154718300
1.08.2016	17353632156
1.09.2016	21611323142
1.10.2016	21758681588
1.11.2016	23526303993
1.12.2016	20875011412
1.01.2017	22109247086
1.02.2017	22234746724
1.03.2017	26598717597
1.04.2017	21199777769
1.05.2017	24937109175
1.06.2017	24232828301
1.07.2017	22201046118
1.08.2017	18824773832
1.09.2017	22958075844
1.10.2017	24543055577
1.11.2017	25119830145
1.12.2017	21183698375
1.01.2018	23005094628
1.02.2018	22714857500
1.03.2018	25148198765
1.04.2018	24396334932
1.05.2018	25607875585
1.06.2018	25061808320
1.07.2018	24505809215
1.08.2018	20196141590
1.09.2018	22310263162
1.10.2018	26234510770
1.11.2018	25005533244
1.12.2018	21074113584
1.01.2019	23280437399
1.02.2019	23471310726
1.03.2019	26105499507
1.04.2019	24810628319
1.05.2019	26687658593
1.06.2019	24381923117
1.07.2019	25912142499
1.08.2019	18823126465
1.09.2019	23416644923
1.10.2019	26895531218
1.11.2019	24757863734
1.12.2019	22350040871
1.01.2020	23649582196
1.02.2020	24327819889
1.03.2020	22372332995
1.04.2020	15041493356
1.05.2020	17564381452
1.06.2020	22410253315
1.07.2020	23625977688
1.08.2020	17564951235
1.09.2020	23614579262
1.10.2020	25276874964
1.11.2020	25018965178
1.12.2020	23161050629
1.01.2021	21211565448
1.02.2021	24125863792
1.03.2021	28863594505
1.04.2021	26079191525
1.05.2021	26446332675
1.06.2021	27145195847
1.07.2021	26746017150
1.08.2021	21836757367
1.09.2021	27418676758
1.10.2021	27422017183
1.11.2021	30045242268
1.12.2021	27518091218
1.01.2022	27357041104
1.02.2022	29965475105
1.03.2022	33060506767
1.04.2022	31278114585
1.05.2022	34938008239
1.06.2022	34601253142
1.07.2022	32037489871
1.08.2022	28266964592
1.09.2022	34314127897
1.10.2022	32797137766
1.11.2022	37321277494
1.12.2022	31661623568
1.01.2023	30920969220
1.02.2023	32830165114
1.03.2023	38932728484
1.04.2023	29342437952
1.05.2023	33942406766
1.06.2023	33982453989
1.07.2023	30445789879
1.08.2023	26173676041
1.09.2023	31014884439
1.10.2023	32276872882
1.11.2023	34878346913
1.12.2023	28947870423
1.01.2024	30144188447
1.02.2024	31834868145
1.03.2024	31450458378
1.04.2024	33990782626
1.05.2024	34716427440
1.06.2024	32968748842
1.07.2024	33269564393
1.08.2024	26833928511
1.09.2024	31596859336
1.10.2024	35280246222
1.11.2024	32640410863
1.12.2024	29738374000
1.01.2025	29780396116
