Time	Value
1.01.2010	17578679913
1.02.2010	17827536730
1.03.2010	21316244250
1.04.2010	19733173736
1.05.2010	20276926158
1.06.2010	21380729644
1.07.2010	20544859962
1.08.2010	17215705227
1.09.2010	20454088600
1.10.2010	20933442465
1.11.2010	21649316154
1.12.2010	21145147264
1.01.2011	21990840052
1.02.2011	21184287728
1.03.2011	24806835231
1.04.2011	21353137929
1.05.2011	22469189827
1.06.2011	22256211619
1.07.2011	21156469152
1.08.2011	19383438175
1.09.2011	22843700114
1.10.2011	21460071020
1.11.2011	22941921875
1.12.2011	21294637927
1.01.2012	21212124061
1.02.2012	22370159650
1.03.2012	23834498371
1.04.2012	20989910894
1.05.2012	22283699733
1.06.2012	21718348019
1.07.2012	22112970297
1.08.2012	19450906627
1.09.2012	20888782232
1.10.2012	22586000562
1.11.2012	21359436252
1.12.2012	19138794316
1.01.2013	22094321760
1.02.2013	19998524528
1.03.2013	20075658259
1.04.2013	22200894650
1.05.2013	21475166724
1.06.2013	20569929330
1.07.2013	22103798757
1.08.2013	18138444834
1.09.2013	21491026224
1.10.2013	22646941983
1.11.2013	21219249064
1.12.2013	20332819117
1.01.2014	21885968695
1.02.2014	21303395089
1.03.2014	22477245453
1.04.2014	21513283731
1.05.2014	22621995171
1.06.2014	22463947674
1.07.2014	23746051871
1.08.2014	18688357803
1.09.2014	23337494239
1.10.2014	24723355168
1.11.2014	21612969740
1.12.2014	21182542238
1.01.2015	21010596335
1.02.2015	22274130891
1.03.2015	24441078111
1.04.2015	23169541835
1.05.2015	22514956431
1.06.2015	24250322616
1.07.2015	24758240935
1.08.2015	19201156218
1.09.2015	23985903523
1.10.2015	23795351832
1.11.2015	23537239521
1.12.2015	21833811969
1.01.2016	21081895140
1.02.2016	22306541957
1.03.2016	23332302465
1.04.2016	22951706269
1.05.2016	22992820264
1.06.2016	24122290725
1.07.2016	21991836634
1.08.2016	20054370232
1.09.2016	23510500293
1.10.2016	23634397323
1.11.2016	24755235570
1.12.2016	23044702524
1.01.2017	25015631213
1.02.2017	24707994836
1.03.2017	28070531331
1.04.2017	22439820112
1.05.2017	26957306600
1.06.2017	25508801224
1.07.2017	24511638579
1.08.2017	22052881463
1.09.2017	25584234415
1.10.2017	27246843977
1.11.2017	27107113358
1.12.2017	23228361351
1.01.2018	27312596648
1.02.2018	25093644259
1.03.2018	26429657040
1.04.2018	27087305984
1.05.2018	27615199773
1.06.2018	27258605560
1.07.2018	28025848875
1.08.2018	23385591305
1.09.2018	25419615536
1.10.2018	30110041579
1.11.2018	27596883927
1.12.2018	24312339130
1.01.2019	27204324011
1.02.2019	26003693484
1.03.2019	28213481895
1.04.2019	26258769499
1.05.2019	29279176873
1.06.2019	25888571026
1.07.2019	28330777555
1.08.2019	22900859272
1.09.2019	27475958526
1.10.2019	29546375685
1.11.2019	26706276828
1.12.2019	24628627364
1.01.2020	27220279499
1.02.2020	26360766498
1.03.2020	24078042851
1.04.2020	16565009221
1.05.2020	17624836854
1.06.2020	21333198536
1.07.2020	23919829192
1.08.2020	19420855841
1.09.2020	24987888613
1.10.2020	26000301498
1.11.2020	25244009224
1.12.2020	24170130883
1.01.2021	23212221296
1.02.2021	25049560564
1.03.2021	29335551311
1.04.2021	27318340029
1.05.2021	27763061013
1.06.2021	28630229054
1.07.2021	28871497900
1.08.2021	25983572544
1.09.2021	30322641333
1.10.2021	31773125203
1.11.2021	34838939556
1.12.2021	33184674494
1.01.2022	34423169842
1.02.2022	34594333011
1.03.2022	38312515401
1.04.2022	37568232807
1.05.2022	40294536127
1.06.2022	41309360297
1.07.2022	38699954332
1.08.2022	36450046096
1.09.2022	41588273252
1.10.2022	39072559899
1.11.2022	40633435740
1.12.2022	36256200840
1.01.2023	34876741647
1.02.2023	35294993802
1.03.2023	39090448084
1.04.2023	33717835935
1.05.2023	37053846815
1.06.2023	36337693721
1.07.2023	35348374641
1.08.2023	30608760653
1.09.2023	34853238938
1.10.2023	37412803690
1.11.2023	37304270841
1.12.2023	32349737151
1.01.2024	33872952153
1.02.2024	34184934952
1.03.2024	33476703554
1.04.2024	38646583312
1.05.2024	37065107670
1.06.2024	33681656604
1.07.2024	36483341497
1.08.2024	31597369883
1.09.2024	34888207911
1.10.2024	39212300480
1.11.2024	37771738073
1.12.2024	33859828627
1.01.2025	35973342732
